Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
125577900,14892200,3288,124005690
139216300,16827100,2992,126409450
268019800,17836000,1347,149042410
163476300,14720300,3002,189279706
108556200,17772100,2030,194404442
