Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
57421100,6277900,1665,6275662
64157100,5995200,1710,6808708
77328200,6589800,1379,8443244
64079000,6122900,1683,11708764
46041000,7289000,1366,12439686
