Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
336903800,54963400,7025,3735102
319353700,31370500,4870,7636210
312849000,35540400,6079,12610362
363141800,33180000,6053,19304054
315007500,38600000,7257,22484250
