Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
23072600,2757200,825,551466
25165300,2798200,859,747922
26573900,3109000,708,1051660
30915900,2631400,786,1229022
26485700,2681100,747,1422784
