Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
11162000,840900,270,1542202
7763000,1165100,281,1593212
11288700,1034200,297,1671654
10997200,951700,196,1791286
7624600,1438000,199,1847982
