Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
87343900,12252200,1870,68415058
188222800,14460800,2805,78944314
77836000,11723900,1946,82030522
97445900,11330700,2820,84046542
106366400,11506700,2523,88642388
