Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
9146800,1272500,211,2737270
13929900,1364700,344,2872326
10543400,1125800,327,3089110
11176200,1188000,284,3205382
10809800,1251300,319,3847056
