Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
57520700,8154200,1582,13301262
65337800,8677700,1553,16705812
71714700,9769400,2053,17559336
66846000,10997400,1584,19280856
203244500,8003000,1715,54816184
