Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
144220900,18389100,2513,1209196
146125100,14272100,3073,4154608
120054900,16328600,3472,4971534
148885200,14446700,3014,6116424
117532700,14627900,2548,7424176
