Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
10815500,1409300,310,1962922
13334200,1213400,321,2027040
11480400,1149300,207,2215730
9727600,1029300,190,2453442
8871700,1267900,290,2534740
