Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
140082500,14183000,3071,100053066
127393900,14419700,2812,101754084
84762000,13050300,1908,104043502
97242500,13103400,2001,114900846
108646200,14331000,2762,118017954
