Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
68221100,9751600,1756,56078106
106817900,11673300,1746,57939514
87787700,9070600,2560,59317662
88774600,8904000,2319,60798620
68637600,9366400,1723,62327858
