Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
85451700,1786400,4,1008016
9750400,1819400,1,1002001
55175300,2662300,4,1008016
15527400,2236300,1,1002001
45615400,2021000,3,1006009
