Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
3174296500,7443600,328,1763584
474050400,7848900,59,1121481
5814803500,11558400,518,2304324
3895289000,8752400,327,1760929
5821166000,7851700,451,2105401
