Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
41057700,3904200,3,1006009
10582300,4315500,0,1000000
58630200,3773200,6,1012036
386194000,4008100,35,1071225
394223900,3812700,36,1073296
