Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
8405316000,9839500,591,2531281
7291933500,10288000,487,2211169
17923151600,10575500,1071,4289041
13577196100,10199600,784,3182656
7255394300,10438800,535,2356225
