Average Time Per Insertion,Average Time Per Search,Total Collisions,Space Complexity
44647700,16651900,0,36000000
40071800,17571300,0,36000000
39908100,17737700,0,36000000
444399200,17428400,2,36024004
154915000,16220700,0,36000000
